architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
rnn,64,1,72.7140519905,45.4281039811,17543,1.81172441244
rnn,16,1,59.3164879113,18.6329758226,7079,2.1022886157
rnn,128,2,84.511906926,69.023813852,71815,1.61333435178
lstm,32,3,73.1685148155,46.337029631,36135,1.72563484311
lstm,128,1,84.366478822,68.7329576441,112775,1.60831904411
lstm,16,3,65.2426831485,30.485366297,15255,1.88655278087
rnn,64,3,81.0034539175,62.0069078349,34311,1.69417431951
lstm,64,1,79.8763861116,59.7527722232,42311,1.69727995992
rnn,32,3,69.9327395019,39.8654790038,14343,1.82458947897
lstm,32,1,71.2234139247,42.4468278495,19367,1.82096038461
rnn,128,3,84.530085439,69.060170878,104967,1.59646129608
rnn,64,1,72.7322305035,45.4644610071,17543,1.80860652924
lstm,128,1,85.7480458099,71.4960916197,112775,1.59323581457
lstm,32,2,74.4046536993,48.8093073987,27751,1.74893547893
lstm,32,2,73.0776222505,46.155244501,27751,1.76241024733
lstm,16,1,64.0974368297,28.1948736593,10967,1.96790280938
rnn,32,3,68.4239229231,36.8478458462,14343,1.84930500984
rnn,16,1,60.0618069442,20.1236138884,7079,2.0854772687
lstm,32,1,69.369205599,38.738411198,19367,1.82969936132
lstm,128,1,84.4755499,68.9510998,112775,1.59698007107
lstm,128,3,87.1841483367,74.3682966733,376455,1.5228674829
lstm,16,3,65.9152881294,31.8305762589,15255,1.89790133834
rnn,64,3,79.9672786766,59.9345573532,34311,1.69026025534
lstm,16,2,65.5880748955,31.1761497909,13111,1.9115912497
lstm,64,1,78.7129612798,57.4259225595,42311,1.71289792657
rnn,32,3,69.296491547,38.592983094,14343,1.83890154958
lstm,64,2,82.8758407562,65.7516815125,75463,1.62416908145
rnn,16,3,61.297945828,22.5958916561,8199,2.00344347954
rnn,16,1,58.5529903654,17.1059807308,7079,2.08218346834
rnn,128,3,84.348300309,68.6966006181,104967,1.60175169706
rnn,64,1,73.4048354845,46.8096709689,17543,1.80130062103
lstm,128,1,84.421014361,68.8420287221,112775,1.59083599448
rnn,128,2,82.6758771133,65.3517542265,71815,1.61490551829
lstm,32,3,74.0229049264,48.0458098528,36135,1.73564707637
rnn,64,2,77.8767496819,55.7534993638,25927,1.73207053542
lstm,64,2,83.3121250682,66.6242501363,75463,1.61836902499
lstm,128,3,88.0567169606,76.1134339211,376455,1.52500001788
rnn,32,2,67.6967824032,35.3935648064,12199,1.878409338
rnn,128,1,80.3308489366,60.6616978731,38663,1.67951485515
rnn,32,2,65.3153972005,30.630794401,12199,1.87156016827
rnn,16,3,61.497909471,22.995818942,8199,1.99572915435
rnn,16,1,60.0618069442,20.1236138884,7079,2.08118860722
rnn,128,1,79.5491728777,59.0983457553,38663,1.69151011705
lstm,64,3,86.3479367388,72.6958734775,108615,1.57956821918
lstm,16,2,66.7333212143,33.4666424286,13111,1.8979528904
lstm,128,3,89.0383566624,78.0767133249,376455,1.52550979853
rnn,32,2,67.8967460462,35.7934920923,12199,1.86886842847
lstm,16,1,64.0792583167,28.1585166333,10967,1.97918788195
lstm,64,2,81.3124886384,62.6249772769,75463,1.6275033474
rnn,16,3,60.4799127431,20.9598254863,8199,2.00713445544
rnn,16,1,58.2257771314,16.4515542629,7079,2.07794760466
rnn,128,2,85.3662970369,70.7325940738,71815,1.60443058014
lstm,32,3,76.4770041811,52.9540083621,36135,1.7255381465
rnn,64,2,76.1316124341,52.2632248682,25927,1.73749919534
lstm,16,1,63.4975459007,26.9950918015,10967,1.96996528506
rnn,64,3,78.5311761498,57.0623522996,34311,1.70733451247
lstm,64,3,84.65733503,69.31467006,108615,1.57899807692
lstm,128,3,88.7111434285,77.4222868569,376455,1.53240121007
rnn,32,3,70.9689147428,41.9378294855,14343,1.83660817146
lstm,64,3,83.3848391202,66.7696782403,108615,1.58351391554
rnn,16,3,59.3892019633,18.7784039266,8199,1.99269065261
lstm,32,1,71.8233048537,43.6466097073,19367,1.82296762466
